25-Oct-2018 12:28:49 .06 8 12 0 0 100 0 2233  0 17 13 27 11 1 1 9 10 7 6 14 2 2 2 3 3 5 4 4 4 7 3 4 6 6 3 3 3 4 2 2 3 4 5 2 3 3 3 6 2 4 3 2 3 4 3 2 2 4 3 4 2 4 4 5 2 2 4 5 3 5 4 4 5 8 8 6 127 43 127 127 127 127 127 75 61 20 43 37 30 24 19 16 21 23 8 9 8 6 5 10 7 5 7 6 5 5 9 7 5 5 13 12 15 7 8 9 11 7 8 9 6 6 8 6 6 9 6 9 10 11 13 13 9 13 13 10 10 11 8 12 17 9 6 15 8 20 16 12 12 16 20 39 34 22 20 23 20 15 8 19 22 16 13 15 14 10 21 27 19 16 25 16 19 14 11 15 19 16 12 20 12 13 13 8 22 21 18 13 22 17 22 13 21 34 15 22 40 34 18 10 22 19 21 18 18 9 32 15 17 17 19 17 20 23 22 32 22 18 24 24 32 19 29 30 38 16 27 25 25 28 22 41 33 38 17 37 41 34 29 32 21 21 34 24 38 27 33 51 35 20 24 43 36 46 27 37 27 35 33 30 0 0 
25-Oct-2018 12:28:50 .06 8 12 0 0 100 0 2233  0 17 13 34 45 17 34 17 17 14 11 5 3 2 3 4 3 3 3 3 5 8 13 3 5 2 2 2 3 3 5 11 5 2 5 4 4 5 3 2 1 3 3 2 5 4 4 3 2 3 4 4 3 3 4 4 7 3 4 5 4 5 3 4 6 3 7 17 127 127 127 127 127 127 127 42 39 36 49 29 41 13 20 8 9 11 5 14 6 5 5 3 7 6 7 4 7 11 10 9 5 5 8 10 6 4 12 7 9 9 8 11 7 5 14 9 11 9 6 15 11 10 9 10 12 14 10 8 9 13 12 9 13 5 9 11 14 10 8 13 24 24 32 28 38 18 20 35 26 29 17 11 9 15 20 17 15 13 7 13 17 16 13 21 22 17 11 21 11 14 15 10 12 13 20 16 29 21 28 17 16 17 15 12 16 22 22 25 21 21 17 17 15 16 20 13 32 18 21 13 19 35 18 32 17 29 18 18 19 24 27 20 21 27 21 28 21 17 26 16 31 20 31 35 33 21 42 41 29 42 20 20 14 20 27 23 37 24 37 36 44 25 30 31 25 25 57 15 17 59 51 27 0 0 
25-Oct-2018 12:28:51 .06 8 12 0 0 100 0 2233  0 17 13 37 43 34 6 5 13 6 2 3 2 1 2 2 3 4 1 12 8 1 3 1 2 3 2 3 3 2 4 6 4 2 2 4 3 3 3 3 2 4 2 3 3 6 2 4 4 3 4 3 4 5 1 3 2 2 5 4 6 4 3 4 17 13 98 9 68 79 127 127 127 127 64 30 26 34 31 19 20 22 8 9 10 11 5 8 7 8 12 6 9 11 7 8 7 7 9 9 7 6 4 3 6 6 3 8 10 4 5 8 4 10 11 13 13 7 10 6 10 4 10 12 7 4 16 12 9 10 8 14 12 11 14 14 9 13 6 26 26 24 25 22 20 18 14 13 14 18 18 14 11 9 9 18 14 11 10 15 10 10 11 12 21 15 20 16 13 11 13 25 24 8 15 28 15 15 31 14 9 12 21 18 16 25 11 17 14 11 23 18 19 14 26 23 20 27 17 20 23 15 26 18 23 36 21 28 24 29 23 39 24 28 31 20 31 41 24 17 51 26 19 22 26 17 33 27 43 34 42 29 32 30 29 24 47 29 43 36 17 28 26 35 46 21 59 50 127 96 74 55 0 0 
25-Oct-2018 12:28:52 .06 8 12 0 0 100 0 2233  0 17 13 35 53 73 53 16 3 10 16 10 1 2 1 1 4 2 5 4 7 2 7 7 2 2 2 3 5 2 8 10 9 2 3 9 6 3 4 3 4 2 2 3 2 3 4 2 3 4 3 2 4 5 5 3 3 4 2 4 7 10 3 9 11 45 15 10 18 127 127 127 127 127 86 43 21 36 52 14 16 14 12 14 17 13 10 7 9 9 5 8 7 11 5 10 9 7 9 5 9 4 6 8 9 6 8 8 8 10 8 8 6 6 7 6 8 9 10 10 13 9 10 9 9 12 11 9 11 5 7 5 9 12 7 9 9 14 7 8 18 37 28 17 12 16 23 8 13 9 17 15 12 10 9 16 16 14 6 11 15 9 14 13 15 25 24 16 20 11 14 16 16 10 24 13 23 12 12 17 21 22 22 20 26 47 21 26 17 16 21 19 17 19 14 19 17 23 18 10 25 25 26 22 19 14 28 24 28 16 31 28 25 23 27 21 29 23 25 27 24 46 41 17 21 13 21 17 37 38 22 26 32 36 40 36 23 33 51 30 26 39 30 40 26 35 23 22 32 43 36 46 0 0 
25-Oct-2018 12:28:53 .06 8 12 0 0 100 0 2233  0 17 13 35 48 40 94 105 4 5 3 5 1 1 2 3 3 7 2 2 4 2 1 3 5 2 2 4 2 3 2 1 2 2 4 2 2 2 3 3 4 3 4 5 2 2 5 4 4 4 3 2 3 2 3 4 3 4 3 66 56 45 73 59 73 127 127 115 127 127 127 127 127 113 45 79 47 39 43 27 7 8 8 5 13 11 7 5 8 9 6 9 9 5 7 6 9 9 13 7 6 5 6 8 7 6 4 9 9 7 10 14 7 7 8 6 8 9 5 8 11 5 12 10 10 8 8 9 12 8 6 13 9 10 16 10 11 12 32 21 22 36 22 24 12 20 12 9 11 6 12 16 13 16 16 17 14 14 5 16 10 17 10 7 11 15 24 13 11 20 15 21 17 27 18 20 19 26 30 16 10 19 15 19 22 18 21 20 11 16 14 20 27 27 26 15 24 16 24 12 26 22 35 9 31 13 20 28 20 28 26 19 27 24 21 40 31 24 25 32 24 28 64 109 86 75 25 30 33 30 34 50 33 18 32 29 37 35 33 23 45 31 27 56 26 32 57 43 51 29 21 37 0 0 
25-Oct-2018 12:28:54 .06 8 12 0 0 100 0 2233  0 17 13 28 16 67 53 5 4 3 8 6 2 2 1 3 2 6 10 7 6 3 1 3 2 2 6 4 3 3 3 2 2 2 3 2 2 1 3 4 1 5 4 6 3 2 6 4 4 4 2 4 5 3 3 6 5 5 5 42 60 44 73 78 104 127 127 83 127 127 127 127 127 79 53 31 47 51 35 18 27 11 13 7 17 11 14 6 9 5 5 9 11 10 7 7 6 8 7 8 6 9 10 8 9 6 6 8 9 9 9 11 9 13 9 14 5 11 12 15 8 8 12 11 15 9 15 9 9 9 11 8 14 24 13 14 18 8 10 34 31 33 15 13 17 21 18 13 11 15 11 19 19 13 25 9 16 21 21 22 15 16 20 17 13 23 24 19 18 31 14 25 11 16 14 26 14 23 27 21 15 19 19 10 24 30 20 16 26 18 15 20 26 22 17 23 35 23 27 17 17 27 45 18 23 19 10 21 28 42 18 20 49 127 95 53 21 28 39 42 39 21 35 19 36 26 23 43 14 31 44 45 23 56 29 27 50 29 48 43 20 43 42 36 53 35 29 31 45 51 41 31 0 0 
25-Oct-2018 12:28:55 .06 8 12 0 0 100 0 2233  0 17 13 28 10 2 19 8 3 2 3 8 10 5 8 12 5 2 6 8 2 2 4 4 12 3 5 2 5 5 3 3 2 3 2 2 2 1 2 2 3 2 4 5 2 4 3 5 3 3 4 2 2 4 4 4 3 3 5 10 6 4 4 5 4 13 9 5 5 13 127 127 127 127 127 49 31 42 20 17 24 26 20 21 22 12 23 20 13 8 6 5 9 6 10 5 6 10 6 7 10 4 9 7 6 13 7 7 11 10 7 4 5 9 6 10 8 7 15 11 12 4 9 11 12 8 11 11 8 11 15 8 9 10 10 13 9 13 12 8 12 18 26 38 31 17 24 13 14 22 22 8 25 17 19 19 10 17 8 10 25 12 13 13 19 19 13 13 14 18 12 19 8 10 16 28 16 28 15 13 13 17 13 19 16 27 23 23 31 21 14 17 28 27 21 25 21 28 26 13 23 26 21 29 26 26 22 23 22 50 18 28 27 18 31 14 18 26 24 24 18 32 41 22 43 45 22 32 21 33 31 43 33 16 18 48 47 33 34 23 33 55 17 23 35 52 28 28 69 42 33 49 0 0 
25-Oct-2018 12:28:56 .06 8 12 0 0 100 0 2233  0 17 13 28 10 4 3 9 8 12 5 5 2 3 2 3 3 3 2 2 3 3 3 3 4 4 4 5 5 2 1 2 3 3 5 4 1 2 4 3 4 3 2 3 3 3 5 2 3 4 1 2 3 3 3 2 4 2 3 83 77 43 64 56 48 127 127 100 127 127 127 127 127 127 22 63 47 59 35 23 12 23 21 6 16 10 13 11 10 10 5 3 4 10 4 9 4 6 7 5 5 7 6 14 8 6 9 8 10 15 8 7 6 4 10 13 9 5 14 6 8 10 8 10 14 15 11 10 7 7 14 9 9 10 11 8 18 14 18 26 26 28 26 14 26 19 11 17 19 9 14 15 15 14 14 18 22 14 11 14 8 20 10 11 13 16 10 22 16 15 10 16 17 16 17 13 19 8 19 17 19 18 16 15 23 17 24 17 7 19 32 35 15 18 13 17 25 19 35 31 16 18 26 34 33 23 14 20 16 29 25 37 30 24 40 28 35 16 33 15 24 27 39 25 21 24 33 28 20 33 30 17 16 36 24 15 33 18 21 30 34 30 40 45 51 42 21 31 29 77 32 26 0 0 
25-Oct-2018 12:28:57 .06 8 12 0 0 100 0 2233  0 17 13 29 12 5 14 11 10 5 12 12 3 4 4 5 3 3 1 2 2 5 4 5 1 3 3 3 7 5 6 2 2 2 4 4 7 6 3 2 4 2 5 5 1 3 7 4 2 4 2 2 4 4 6 3 6 4 5 3 5 9 16 6 21 127 47 57 127 127 127 127 127 127 65 46 25 23 29 20 17 13 11 14 9 6 10 10 6 5 6 11 6 3 6 7 6 5 8 8 7 5 7 9 7 5 10 5 7 5 4 11 7 7 10 6 9 6 7 5 6 9 6 14 6 7 9 8 13 12 7 9 10 11 12 9 9 8 27 36 28 16 16 20 10 20 16 12 10 9 12 18 14 13 11 15 13 14 10 23 9 14 14 13 7 26 11 17 11 15 15 18 19 19 24 23 61 14 31 28 24 14 16 25 34 22 23 16 32 23 13 24 22 25 11 24 19 21 18 18 22 34 19 21 29 25 29 13 23 26 21 20 35 20 14 23 32 24 34 24 42 24 35 29 37 29 21 25 21 33 34 17 20 31 33 22 18 30 31 31 38 26 46 24 23 29 27 24 43 43 15 16 0 0 
25-Oct-2018 12:28:58 .06 8 12 0 0 100 0 2233  0 17 13 28 10 1 16 16 4 5 15 9 7 5 4 2 3 6 2 4 6 3 6 6 3 13 4 6 5 5 5 7 6 3 2 3 9 2 3 3 3 3 3 4 3 3 5 3 5 2 3 3 3 4 4 5 2 3 1 3 3 6 4 2 14 45 25 103 127 127 127 127 124 58 35 42 12 14 9 9 10 8 14 9 8 11 9 6 4 2 6 8 7 4 5 9 5 5 7 9 10 11 6 10 7 5 8 9 10 13 11 9 7 7 11 6 10 7 10 5 8 10 11 13 9 13 13 13 7 8 11 8 7 20 17 15 12 15 14 26 17 16 20 11 16 19 15 17 9 12 15 13 21 15 10 15 17 10 11 13 13 12 13 9 16 15 14 12 15 18 18 14 26 23 12 9 15 21 20 21 14 12 20 12 25 14 16 18 34 7 32 23 23 24 26 24 29 31 38 30 23 26 16 17 23 31 24 27 23 30 30 59 37 48 23 22 23 26 27 31 13 23 22 39 44 40 34 34 32 32 20 31 28 56 26 37 39 64 33 37 27 26 26 17 23 26 63 41 69 40 42 25 0 0 
